,t,means,covs,gain,mu_y,Sy
0,0.0,-0.19886741851755688,0.009949751269257678,0.994975126925724,0.0,1.9901000188827516
1,1.0,-0.40957134635551573,0.01159171387208524,1.0704481898326679,-0.19184258580207825,0.871105114164971
2,2.0,-0.6491071336677159,0.020656126119741658,1.4224703131932686,-0.3625495731830597,0.4896279695217992
3,3.0,-0.6477522768600186,0.11277385806568374,3.167164326866085,-0.4798769950866699,0.09047560773094454
4,4.0,-0.3312323807190041,0.11194640328415062,3.172792903447122,-0.4794977605342865,0.09924249882097981
5,5.0,-0.3686905075508311,0.0156984479471991,1.2440403597128782,-0.30496034026145935,0.7069753174405601
6,6.0,0.05783995435066824,0.017700272230741,1.3187793250887725,-0.33349937200546265,0.573665346577095
7,7.0,-0.5636423503112414,0.010032442507259987,0.9966675018639438,0.05713678523898125,1.0140636482544891
8,8.0,1.821528616464358,0.04940814473161481,2.167736111997865,-0.44930681586265564,0.20439222868166865
9,9.0,1.1530402046841979,0.012585388119849883,-1.1151003911055282,-0.23181602358818054,0.8340256273963678
10,10.0,1.0915669163791115,0.02264002603265336,-1.4877424180793493,0.3768889307975769,0.44720950109553403
11,11.0,0.8413563713647055,0.030905341796487074,-1.7312132542464054,0.41418901085853577,0.3308286685025113
12,12.0,2.1490508130782446,0.5239807029817125,-5.0749355755325265,0.49764928221702576,0.01966665275666688
13,13.0,1.3164368711277037,0.055216870184647604,-2.307026730520989,-0.4542666971683502,0.27703947763676884
14,14.0,1.758242712703203,0.013234678123392962,-1.1431804263338123,0.2519358992576599,0.7971041084619453
15,15.0,1.5067347299920426,0.01124996842218473,-1.0547542768184244,-0.17390914261341095,0.9006994607995353
16,16.0,2.005588713760862,0.010120320638045355,-1.0009466596845613,0.07377065718173981,0.9992225061795672
17,17.0,1.5243665490233083,0.022520411503826665,-1.4838563420100723,-0.3761169910430908,0.44857482519800873
18,18.0,1.184278418130131,0.010028923670793777,-0.9965290704627512,0.056299321353435516,1.0195357783638728
19,19.0,1.8159193415122812,0.01985163338126661,-1.3950387490297993,0.35572531819343567,0.5087533921854702
20,20.0,1.5008474192247843,0.012437638508999704,-1.108417308453207,-0.22681935131549835,0.8200549728936428
21,21.0,2.238804834120164,0.010156928911853713,-1.0027513742850886,0.07958460599184036,0.9967708050058643
22,22.0,-1.258085892586568,0.14017831454199736,-3.474596627650477,-0.4843966066837311,0.07207137259965471
23,23.0,-1.7446572760858432,0.015435386971420995,-1.2339450283603954,-0.3003799319267273,0.7381234493371472
24,24.0,-0.9119365097589922,0.011036841014218757,-1.0448414781547832,0.16108641028404236,0.9200859000233332
25,25.0,-4.237331281945563,0.1535213621619541,-3.608418531143999,-0.4859924912452698,0.06584759557670508
26,26.0,-4.954610989758515,0.02748524173325495,-1.638020090166452,-0.40150538086891174,0.42020036637395364
27,27.0,-5.153711599468205,0.012876089852629446,-1.127597667964242,0.24140410125255585,0.7978735404215809
28,28.0,-3.9827007154539387,0.02528054269166402,-1.5700121702874417,0.3918899893760681,0.4006127936919285
29,29.0,-6.014693521878412,0.39025580872645016,-4.916913661493079,-0.49601560831069946,0.026280686174514838
30,30.0,-5.731314298495183,0.013329802920982292,1.1489660239795016,0.253490149974823,1.037355533730311
31,31.0,-7.004641183429364,0.04522864228053025,2.0786893683067103,0.444064199924469,0.22399593196443673
32,32.0,-2.088952646451956,0.3407238414486251,4.791477707948503,-0.49503135681152344,0.03065686154822911
33,33.0,-1.5254980207755335,0.03542347766155829,-1.8571426543357428,0.42577582597732544,0.3794409444614627
34,34.0,-1.3826804466411264,0.010025180419794388,-0.9964027627412231,-0.05517531558871269,1.0327831918575063
35,35.0,-1.4576098172431926,0.011611720321751617,-1.0713646260955039,-0.19280967116355896,0.8698002461308876
36,36.0,-0.9817668574850489,0.010521269292825375,-1.0203794668979767,-0.12188199907541275,0.9614761697625505
37,37.0,-2.896210957497868,0.0690567881448656,-2.5364739026253966,-0.4650506377220154,0.1463151721802158
38,38.0,-3.8397608499791076,0.01276858317232299,1.1232254783558446,0.23778943717479706,0.838304314682659
39,39.0,-3.445128869736194,0.27963173480066394,4.499317649875144,-0.4934852719306946,0.03622497097770448
40,40.0,-3.41686146595513,0.014776780862863603,1.208588241679639,-0.287682443857193,0.8696035785676108
41,41.0,-2.637279698682637,0.013674002259715268,1.1614594995639693,-0.2638850808143616,0.7423256775314422
42,42.0,-4.095022873304548,0.03505079359485219,1.839537083700609,0.4256058633327484,0.28927115183449653
43,43.0,-4.253528680602482,0.07765857847849988,-2.680193353690689,-0.4692784249782562,0.13333440254466625
44,44.0,-4.226795235588058,0.025260323601724366,-1.5706253362064548,-0.3915981352329254,0.42689330873484754
45,45.0,-4.977201462714559,0.02900238018399981,-1.6787577188683331,-0.40772342681884766,0.35358901839363904
46,46.0,-4.185527527039551,0.013559889072600084,-1.1567678474692034,0.26088663935661316,0.758748883153658
47,47.0,-4.68052139806382,0.03714103868162,-1.8915706878211611,-0.4302970767021179,0.2729303331081511
48,48.0,-5.187067533887219,0.009923251043364889,-0.9913807139394846,-0.02186553366482258,1.045181244693028
49,49.0,-4.349684818582784,0.0301084491860526,-1.7091201520874164,0.41163450479507446,0.33539662646254204
50,50.0,-5.3023350396662865,0.0170048882435605,-1.2932171988107413,-0.32466718554496765,0.6059023521981266
51,51.0,-4.848757788703683,0.06968513244456209,-2.5477333623649785,0.4653848111629486,0.14591573942482924
52,52.0,-4.349102707474435,0.01079698699791165,-1.0338310011588792,0.14419838786125183,0.9905429719633989
