,t,means,covs,gain,mu_y,Sy
0,0.0,-0.19886742532253265,0.009949684143066406,0.9949751496315002,0.0,1.9901000261306763
1,1.0,-0.4095713198184967,0.011591792106628418,1.0704481601715088,-0.19184261560440063,0.8711050748825073
2,2.0,-0.6491070985794067,0.020656049251556396,1.4224703311920166,-0.3625495731830597,0.48962804675102234
3,3.0,-0.6477522253990173,0.112773597240448,3.1671624183654785,-0.47987696528434753,0.09047573804855347
4,4.0,-0.3312323987483978,0.11194628477096558,3.1727919578552246,-0.4794977605342865,0.09924255311489105
5,5.0,-0.36869046092033386,0.01569819450378418,1.2440404891967773,-0.3049603998661041,0.7069752216339111
6,6.0,0.05783984065055847,0.01770031452178955,1.3187791109085083,-0.3334992825984955,0.5736653804779053
7,7.0,-0.5636423230171204,0.010032415390014648,0.9966675043106079,0.05713667720556259,1.0140637159347534
8,8.0,1.8215283155441284,0.04940837621688843,2.1677358150482178,-0.44930681586265564,0.2043922245502472
9,9.0,1.1530404090881348,0.012585282325744629,-1.1151000261306763,-0.23181571066379547,0.8340264558792114
10,10.0,1.0915669202804565,0.022639930248260498,-1.4877417087554932,0.37688878178596497,0.4472099244594574
11,11.0,0.8413563966751099,0.03090512752532959,-1.7312129735946655,0.414188951253891,0.33082881569862366
12,12.0,2.149050712585449,0.5239807367324829,-5.074934482574463,0.49764931201934814,0.019666651263833046
13,13.0,1.316436767578125,0.05521667003631592,-2.3070268630981445,-0.4542666971683502,0.27703946828842163
14,14.0,1.7582428455352783,0.013234853744506836,-1.1431804895401,0.25193601846694946,0.797103762626648
15,15.0,1.5067347288131714,0.011249899864196777,-1.0547544956207275,-0.1739092320203781,0.9006993174552917
16,16.0,2.0055887699127197,0.010120153427124023,-1.0009467601776123,0.07377078384160995,0.999222457408905
17,17.0,1.5243666172027588,0.02252030372619629,-1.483855962753296,-0.37611690163612366,0.4485750198364258
18,18.0,1.1842784881591797,0.010029077529907227,-0.9965289235115051,0.056299321353435516,1.019535779953003
19,19.0,1.8159193992614746,0.019851505756378174,-1.3950388431549072,0.35572531819343567,0.5087534785270691
20,20.0,1.500847339630127,0.01243734359741211,-1.1084173917770386,-0.22681924700737,0.8200550079345703
21,21.0,2.238804817199707,0.010156989097595215,-1.002751350402832,0.07958460599184036,0.9967705011367798
22,22.0,-1.2580909729003906,0.1401786208152771,-3.4746017456054688,-0.48439669609069824,0.0720711424946785
23,23.0,-1.744653582572937,0.015435099601745605,-1.2339355945587158,-0.300375759601593,0.7381351590156555
24,24.0,-0.911938488483429,0.01103675365447998,-1.0448389053344727,0.16108278930187225,0.9200902581214905
25,25.0,-4.237294673919678,0.15351742506027222,-3.6083784103393555,-0.4859920144081116,0.06584935635328293
26,26.0,-4.954677104949951,0.02749037742614746,-1.6381744146347046,-0.4015272855758667,0.4201178550720215
27,27.0,-5.153726100921631,0.012877941131591797,-1.127678632736206,0.2414625585079193,0.7977614998817444
28,28.0,-3.9826602935791016,0.025282084941864014,-1.5700664520263672,0.39189887046813965,0.40058520436286926
29,29.0,-6.014991760253906,0.3905683159828186,-4.917675018310547,-0.4960207939147949,0.026259692385792732
30,30.0,-5.731413841247559,0.013320684432983398,1.1485775709152222,0.25323569774627686,1.038296103477478
31,31.0,-7.004204750061035,0.04519575834274292,2.0779664516448975,0.44401881098747253,0.22415734827518463
32,32.0,-2.0993003845214844,0.33793556690216064,4.781239986419678,-0.49497029185295105,0.03090883046388626
33,33.0,-1.507204532623291,0.037886738777160645,-1.9187688827514648,0.43113553524017334,0.35404151678085327
34,34.0,-1.3819254636764526,0.010119915008544922,-1.0010665655136108,-0.07330644130706787,1.0255299806594849
35,35.0,-1.4576537609100342,0.011626243591308594,-1.0720266103744507,-0.1935046762228012,0.8687957525253296
36,36.0,-0.9817773103713989,0.0105208158493042,-1.020357608795166,-0.12183946371078491,0.9615317583084106
37,37.0,-2.8961236476898193,0.06904977560043335,-2.5363576412200928,-0.46504682302474976,0.1463295966386795
38,38.0,-3.8398478031158447,0.012771010398864746,1.123329997062683,0.23786704242229462,0.8381406664848328
39,39.0,-3.4449596405029297,0.2800680994987488,4.501489639282227,-0.4934993386268616,0.03616860508918762
40,40.0,-3.4168667793273926,0.014769911766052246,1.208309531211853,-0.28754279017448425,0.870314359664917
41,41.0,-2.6372745037078857,0.013674259185791016,1.161467432975769,-0.26388996839523315,0.742310106754303
42,42.0,-4.095046043395996,0.035051822662353516,1.8395663499832153,0.42560863494873047,0.28926169872283936
43,43.0,-4.253513813018799,0.07763999700546265,-2.6798980236053467,-0.4692701995372772,0.13336652517318726
44,44.0,-4.2267937660217285,0.02526223659515381,-1.5706803798675537,-0.3916073143482208,0.42685502767562866
45,45.0,-4.977203369140625,0.029002606868743896,-1.6787620782852173,-0.40772396326065063,0.353587806224823
46,46.0,-4.185525894165039,0.013559818267822266,-1.156769871711731,0.26088786125183105,0.7587464451789856
47,47.0,-4.68052339553833,0.037141382694244385,-1.8915791511535645,-0.4302977919578552,0.27292779088020325
48,48.0,-5.18706750869751,0.009923338890075684,-0.991380512714386,-0.021863628178834915,1.0451818704605103
49,49.0,-4.349684715270996,0.030108630657196045,-1.7091200351715088,0.4116344749927521,0.3353966474533081
50,50.0,-5.302335739135742,0.017004847526550293,-1.2932183742523193,-0.3246675431728363,0.6059014201164246
51,51.0,-4.848756790161133,0.06968551874160767,-2.547738552093506,0.46538498997688293,0.14591507613658905
52,52.0,-4.349102973937988,0.01079702377319336,-1.0338304042816162,0.1441974639892578,0.9905443787574768
